ph_model,nhid,layers,ptdecay,ftdecay,ins_pl,decode_acc
mono,500,9,0.0001,0.001,-2.0,70.57
mono,500,9,0.0001,0.005,-2.0,70.03
mono,500,9,0.0001,0.01,-2.0,69.87
mono,500,9,0.0001,0.05,-2.0,69.30
mono,500,9,0.0001,0.1,-2.0,68.16
mono,500,9,0.01,0.0001,-2.0,70.25
mono,500,9,0.01,0.0005,-2.0,70.26
mono,500,9,0.01,0.001,-2.0,70.29
mono,500,9,0.01,0.005,-2.0,70.34
mono,500,9,0.01,0.01,-2.0,69.83
mono,500,9,0.01,0.05,-2.0,69.38
mono,500,9,0.01,0.1,-2.0,68.19
mono,500,10,0.001,0.0001,-2.0,70.32
mono,500,10,0.001,0.0005,-2.0,70.28
mono,500,10,0.001,0.001,-2.0,70.69
mono,500,10,0.001,0.005,-2.0,70.32
mono,500,10,0.001,0.01,-2.0,70.37
mono,500,10,0.001,0.05,-2.0,69.18
mono,500,10,0.001,0.1,-2.0,68.52
mono,500,10,0.0001,0.0001,-2.0,70.59
mono,500,10,0.0001,0.0005,-2.0,70.86
mono,500,10,0.0001,0.001,-2.0,70.66
mono,500,10,0.0001,0.005,-2.0,70.65
mono,500,10,0.0001,0.01,-2.0,70.23
mono,500,10,0.0001,0.05,-2.0,70.06
mono,500,10,0.0001,0.1,-2.0,68.78
mono,500,10,0.01,0.0001,-2.0,70.26
mono,500,10,0.01,0.0005,-2.0,70.25
mono,500,10,0.01,0.001,-2.0,70.20
mono,500,10,0.01,0.005,-2.0,70.20
mono,500,10,0.01,0.05,-2.0,68.59
mono,500,10,0.01,0.1,-2.0,68.59
mono,500,16,0.001,0.0001,-2.0,70.12
mono,500,16,0.001,0.0005,-2.0,70.20
mono,500,16,0.001,0.001,-2.0,70.17
mono,500,16,0.001,0.005,-2.0,69.83
mono,500,16,0.001,0.01,-2.0,70.15
mono,500,16,0.001,0.05,-2.0,69.67
mono,500,16,0.001,0.1,-2.0,68.87
mono,500,16,0.01,0.0001,-2.0,69.63
mono,500,16,0.01,0.001,-2.0,68.99
mono,1000,1,0.001,0.0001,-2.0,69.01
mono,1000,1,0.001,0.0005,-2.0,68.99
mono,1000,1,0.001,0.001,-2.0,68.99
mono,1000,1,0.001,0.005,-2.0,68.89
mono,1000,1,0.001,0.01,-2.0,68.72
mono,1000,1,0.001,0.05,-2.0,68.53
mono,1000,1,0.001,0.1,-2.0,67.62
mono,1000,2,0.001,0.0001,-2.0,68.78
mono,1000,2,0.001,0.0005,-2.0,69.10
mono,1000,2,0.001,0.001,-2.0,68.82
mono,1000,2,0.001,0.005,-2.0,68.95
mono,1000,2,0.001,0.01,-2.0,69.61
mono,1000,2,0.001,0.05,-2.0,69.06
mono,1000,2,0.001,0.1,-2.0,67.99
mono,1000,4,0.001,0.0001,-2.0,70.54
mono,1000,4,0.001,0.0005,-2.0,70.69
mono,1000,4,0.001,0.001,-2.0,69.77
mono,1000,4,0.001,0.005,-2.0,70.94
mono,1000,4,0.001,0.05,-2.0,70.68
mono,1000,4,0.001,0.1,-2.0,68.10
mono,1000,8,0.001,0.0001,-2.0,71.59
mono,1000,8,0.001,0.0005,-2.0,71.62
mono,1000,8,0.001,0.001,-2.0,71.61
mono,1000,8,0.001,0.005,-2.0,71.54
mono,1000,8,0.001,0.01,-2.0,71.25
mono,1000,8,0.001,0.05,-2.0,70.49
mono,1000,8,0.001,0.1,-2.0,69.46
mono,1000,10,0.001,0.0001,-2.0,71.51
mono,1000,10,0.001,0.001,-2.0,71.59
mono,1000,10,0.001,0.01,-2.0,71.31
