ph_model,nhid,ctxt,layers,ptdecay,ftdecay,ins_pl,decode_acc
xwtri,500,6,9,0.001,0.1,-2.0,70.54
xwtri,500,6,9,0.001,0.1,-1.0,69.97
xwtri,500,6,9,0.001,0.1,-4.0,70.68
xwtri,500,6,9,0.001,0.1,-8.0,71.22
xwtri,500,6,9,0.001,0.1,-16.0,68.90
xwtri,500,6,9,0.001,0.0001,0.0,ERROR
xwtri,500,6,9,0.001,0.0001,-2.0,ERROR
xwtri,500,6,9,0.001,0.0001,-1.0,ERROR
xwtri,500,6,9,0.001,0.0001,-4.0,ERROR
xwtri,500,6,9,0.001,0.0001,-8.0,ERROR
xwtri,500,6,9,0.001,0.0001,-16.0,ERROR
xwtri,500,6,9,0.001,0.0005,0.0,ERROR
xwtri,500,6,9,0.001,0.0005,-2.0,ERROR
xwtri,500,6,9,0.001,0.0005,-1.0,ERROR
xwtri,500,6,9,0.001,0.0005,-4.0,ERROR
xwtri,500,6,9,0.001,0.0005,-8.0,ERROR
xwtri,500,6,9,0.001,0.0005,-16.0,ERROR
xwtri,500,6,9,0.001,0.005,0.0,ERROR
xwtri,500,6,9,0.001,0.005,-2.0,ERROR
xwtri,500,6,9,0.001,0.005,-1.0,ERROR
xwtri,500,6,9,0.001,0.005,-4.0,ERROR
xwtri,500,6,9,0.001,0.005,-8.0,ERROR
xwtri,500,6,9,0.001,0.005,-16.0,ERROR
xwtri,500,6,9,0.001,0.05,0.0,ERROR
xwtri,500,6,9,0.001,0.05,-2.0,ERROR
xwtri,500,6,9,0.001,0.05,-1.0,ERROR
xwtri,500,6,9,0.001,0.05,-4.0,ERROR
xwtri,500,6,9,0.001,0.05,-8.0,ERROR
xwtri,500,6,9,0.001,0.05,-16.0,ERROR
mono,500,6,1,0.001,0.001,0.0,66.80
mono,500,6,1,0.001,0.001,-2.0,67.42
mono,500,6,1,0.001,0.001,-1.0,67.20
mono,500,6,1,0.001,0.001,-4.0,67.37
mono,500,6,1,0.001,0.001,-8.0,66.11
mono,500,6,1,0.001,0.001,-16.0,62.47
mono,500,6,1,0.001,0.002,0.0,66.68
mono,500,6,1,0.001,0.002,-2.0,67.39
mono,500,6,1,0.001,0.002,-1.0,67.14
mono,500,6,1,0.001,0.002,-4.0,67.28
mono,500,6,1,0.001,0.002,-8.0,66.00
mono,500,6,1,0.001,0.002,-16.0,62.35
mono,500,6,1,0.001,0.003,0.0,66.63
mono,500,6,1,0.001,0.003,-2.0,67.46
mono,500,6,1,0.001,0.003,-1.0,67.20
mono,500,6,1,0.001,0.003,-4.0,67.37
mono,500,6,1,0.001,0.003,-8.0,66.01
mono,500,6,1,0.001,0.003,-16.0,62.38
mono,500,6,1,0.001,0.01,0.0,66.68
mono,500,6,1,0.001,0.01,-2.0,67.46
mono,500,6,1,0.001,0.01,-1.0,67.23
mono,500,6,1,0.001,0.01,-4.0,67.48
mono,500,6,1,0.001,0.01,-8.0,66.23
mono,500,6,1,0.001,0.01,-16.0,62.06
mono,500,6,1,0.001,0.00001,0.0,66.77
mono,500,6,1,0.001,0.00001,-2.0,67.50
mono,500,6,1,0.001,0.00001,-1.0,67.29
mono,500,6,1,0.001,0.00001,-4.0,67.45
mono,500,6,1,0.001,0.00001,-8.0,66.26
mono,500,6,1,0.001,0.00001,-16.0,62.66
mono,500,6,1,0.001,0.1,0.0,65.78
mono,500,6,1,0.001,0.1,-2.0,66.37
mono,500,6,1,0.001,0.1,-1.0,66.09
mono,500,6,1,0.001,0.1,-4.0,65.87
mono,500,6,1,0.001,0.1,-8.0,63.62
mono,500,6,1,0.001,0.1,-16.0,57.87
mono,500,6,1,0.001,0.0001,0.0,66.72
mono,500,6,1,0.001,0.0001,-2.0,67.48
mono,500,6,1,0.001,0.0001,-1.0,67.26
mono,500,6,1,0.001,0.0001,-4.0,67.43
mono,500,6,1,0.001,0.0001,-8.0,66.24
mono,500,6,1,0.001,0.0001,-16.0,62.64
mono,500,6,1,0.001,0.0005,0.0,66.74
mono,500,6,1,0.001,0.0005,-2.0,67.42
mono,500,6,1,0.001,0.0005,-1.0,67.26
mono,500,6,1,0.001,0.0005,-4.0,67.43
mono,500,6,1,0.001,0.0005,-8.0,66.21
mono,500,6,1,0.001,0.0005,-16.0,62.61
mono,500,6,3,0.001,0.001,0.0,68.44
mono,500,6,3,0.001,0.001,-2.0,69.55
mono,500,6,3,0.001,0.001,-1.0,69.29
mono,500,6,3,0.001,0.001,-4.0,69.74
mono,500,6,3,0.001,0.001,-8.0,69.40
mono,500,6,3,0.001,0.001,-16.0,65.60
